unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
9882,3,5:00,"Nikita Krylov",3,0,0,0,2,14,16,3,3,0,0,3:50,0:45
1243,3,5:00,"Francisco Trinaldo",1,0,0,0,0,5,22,6,7,1,1,0:00,0:00
1245,3,5:00,"Francisco Trinaldo",2,0,0,0,0,12,33,6,10,1,1,0:00,0:00
1247,3,5:00,"Francisco Trinaldo",3,0,0,0,1,17,45,5,5,2,2,0:00,0:00
8882,3,5:00,"Brandon Moreno",1,0,0,0,1,11,25,0,1,0,0,2:44,0:58
8884,3,5:00,"Brandon Moreno",2,0,0,0,1,8,21,3,3,0,0,0:58,2:10
8886,3,5:00,"Brandon Moreno",3,0,0,0,0,10,30,1,2,0,0,0:03,1:05
12415,3,5:00,"Amanda Ribas",1,0,0,1,1,14,32,6,7,2,2,3:04,0:00
12417,3,5:00,"Amanda Ribas",2,0,0,0,2,18,56,8,13,5,5,1:25,0:00
12419,3,5:00,"Amanda Ribas",3,0,2,0,0,25,37,4,4,3,3,2:56,1:00
3691,3,5:00,"Elizeu Zaleski dos Santos",1,0,0,1,1,5,34,6,12,6,7,1:02,0:00
3693,3,5:00,"Elizeu Zaleski dos Santos",2,0,0,0,2,10,36,7,10,9,10,0:55,0:06
3695,3,5:00,"Elizeu Zaleski dos Santos",3,0,0,1,1,10,25,3,10,6,12,0:33,0:18
8945,3,5:00,"Rani Yahya",1,0,0,1,3,8,19,3,4,6,6,1:47,1:04
8947,3,5:00,"Rani Yahya",2,0,0,1,1,4,8,2,3,1,2,3:01,0:59
8949,3,5:00,"Rani Yahya",3,0,0,0,1,0,3,0,0,0,0,0:00,4:46
13274,3,5:00,"Maryna Moroz",1,0,0,1,2,16,49,21,27,8,8,1:44,0:00
13276,3,5:00,"Maryna Moroz",2,0,0,1,3,27,48,8,11,3,3,2:32,0:42
13278,3,5:00,"Maryna Moroz",3,0,0,0,3,32,63,20,33,4,5,0:13,0:03
12102,3,5:00,"David Dvorak",1,0,0,0,0,6,27,6,8,2,3,0:00,0:50
12104,3,5:00,"David Dvorak",2,0,0,0,0,8,21,6,11,3,3,1:05,0:13
12106,3,5:00,"David Dvorak",3,0,0,0,1,21,38,12,18,3,4,0:08,0:28
13376,3,5:00,"Bea Malecki",1,0,0,0,0,25,59,9,20,2,2,0:00,0:00
13378,3,5:00,"Bea Malecki",2,0,0,0,0,35,70,13,16,0,1,1:54,0:02
13380,3,5:00,"Bea Malecki",3,0,0,0,0,32,62,12,14,2,3,1:30,0:10
7090,2,0:51,"Doug Marshall",1,0,0,0,0,17,67,0,2,6,7,--,NULL
7092,2,0:51,"Doug Marshall",2,1,0,0,0,5,13,1,1,3,4,--,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3516,3,1:52,"John Alessio",1,0,1,1,2,12,18,0,0,0,0,--,NULL
3518,3,1:52,"John Alessio",2,0,0,1,2,3,9,2,2,1,1,--,NULL
3520,3,1:52,"John Alessio",3,1,1,0,0,31,37,4,5,0,0,--,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13589,2,3:52,"Poppies Martinez",1,0,2,0,2,5,14,0,0,2,2,--,--
13591,2,3:52,"Poppies Martinez",2,0,3,1,1,13,28,0,0,4,5,--,--
13593,1,2:44,"Kenny Ento",1,0,2,1,1,23,29,0,0,0,0,--,--
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6970,1,2:35,"Fernando Gonzalez",1,1,0,1,1,24,26,2,2,0,0,--,NULL
NULL,2,2:46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2690,3,5:00,"Clay Guida",1,0,1,3,4,4,15,2,3,0,0,--,NULL
2692,3,5:00,"Clay Guida",2,0,0,1,1,15,27,1,1,0,0,--,NULL
2694,3,5:00,"Clay Guida",3,0,0,1,1,12,18,2,2,0,0,--,NULL
NULL,1,0:43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13597,2,5:00,"Andrew Martinez",1,0,0,0,1,9,38,2,3,1,3,--,--
13599,2,5:00,"Andrew Martinez",2,0,0,1,1,17,55,3,3,2,6,--,--
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11403,1,2:57,"Shane del Rosario",1,0,1,0,0,0,1,1,1,1,1,--,NULL
5665,1,3:42,"Luke Rockhold",1,0,1,0,0,0,1,0,0,0,0,--,--
NULL,1,3:49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,2:32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,1:47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
