unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
9881,3,5:00,"Johnny Walker",3,0,0,0,0,6,9,0,0,0,0,0:45,3:50
1244,3,5:00,"John Makdessi",1,0,0,0,0,5,9,7,10,13,16,0:00,0:00
1246,3,5:00,"John Makdessi",2,0,0,0,0,4,18,5,8,10,12,0:00,0:00
1248,3,5:00,"John Makdessi",3,0,0,0,0,6,27,4,8,13,15,0:00,0:00
8881,3,5:00,"Jussier Formiga",1,0,1,0,0,2,3,0,0,1,1,0:58,2:44
8883,3,5:00,"Jussier Formiga",2,0,0,1,6,3,6,2,2,0,1,2:10,0:58
8885,3,5:00,"Jussier Formiga",3,0,0,0,3,4,15,2,3,1,1,1:05,0:03
12416,3,5:00,"Randa Markos",1,0,0,0,0,5,13,0,0,2,2,0:00,3:04
12418,3,5:00,"Randa Markos",2,0,0,0,0,13,38,2,4,8,9,0:00,1:25
12420,3,5:00,"Randa Markos",3,0,0,1,1,4,7,1,3,1,1,1:00,2:56
3692,3,5:00,"Aleksei Kunchenko",1,0,0,0,0,5,12,2,5,4,4,0:00,1:02
3694,3,5:00,"Aleksei Kunchenko",2,0,0,0,0,16,33,4,7,5,9,0:06,0:55
3696,3,5:00,"Aleksei Kunchenko",3,0,0,0,0,8,27,5,6,8,9,0:18,0:33
8946,3,5:00,"Enrique Barzola",1,0,0,0,1,6,16,4,5,0,0,1:04,1:47
8948,3,5:00,"Enrique Barzola",2,0,0,1,1,5,15,1,1,0,1,0:59,3:01
8950,3,5:00,"Enrique Barzola",3,0,1,0,0,28,34,13,14,0,0,4:46,0:00
13273,3,5:00,"Mayra Bueno Silva",1,0,0,0,0,11,20,4,5,10,14,0:00,1:44
13275,3,5:00,"Mayra Bueno Silva",2,0,0,0,0,13,25,3,3,4,6,0:42,2:32
13277,3,5:00,"Mayra Bueno Silva",3,0,0,0,0,21,47,13,14,9,12,0:03,0:13
12101,3,5:00,"Bruno Silva",1,0,0,1,2,11,23,3,4,5,6,0:50,0:00
12103,3,5:00,"Bruno Silva",2,0,0,1,4,3,13,3,5,2,3,0:13,1:05
12105,3,5:00,"Bruno Silva",3,0,0,1,5,11,33,6,8,1,2,0:28,0:08
13375,3,5:00,"Veronica Macedo",1,0,0,0,1,19,83,10,21,8,8,0:00,0:00
13377,3,5:00,"Veronica Macedo",2,0,0,0,4,18,61,3,3,3,6,0:02,1:54
13379,3,5:00,"Veronica Macedo",3,0,0,0,4,30,69,1,6,1,1,0:10,1:30
NULL,2,0:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,2,0:51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,1:52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,3,1:52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,3,1:52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13590,2,3:52,"Gigo Jara",1,0,0,0,1,14,15,0,0,0,0,--,--
13592,2,3:52,"Gigo Jara",2,0,0,0,0,6,20,0,0,0,0,--,--
13594,1,2:44,"Mario Rivera",1,0,0,0,0,0,1,0,0,0,0,--,--
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,2:35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,2,2:46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,1,0:43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13598,2,5:00,"Robert Breslin",1,0,0,0,0,2,14,2,3,6,8,--,--
13600,2,5:00,"Robert Breslin",2,0,0,0,0,5,10,4,4,4,5,--,--
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,2:57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
5666,1,3:42,"Jesse Taylor",1,0,0,3,6,0,1,1,1,0,0,--,--
NULL,1,3:49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,2:32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,1:47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,3,5:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,0:52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,--
NULL,1,3:13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,2:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,0:56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,1:30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,1:36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,2,3:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,1:23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,1,0:31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7078,5,5:00,"Dominick Reyes",1,0,0,0,0,7,33,11,14,5,12,0:00,0:00
