unique_round_id,ending_round,ending_time,fighter_name,round_number,knockdowns,submission_attempts,takedowns,takedowns_attempted,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,fighter_control_time,opponent_control_time
32953.0,3.0,5:00,William Knight,1.0,0.0,0.0,0.0,1.0,6.0,9.0,1.0,3.0,2.0,3.0,0:48,2:34
32955.0,3.0,5:00,William Knight,2.0,0.0,1.0,2.0,2.0,13.0,16.0,1.0,2.0,2.0,3.0,2:37,1:44
32957.0,3.0,5:00,William Knight,3.0,0.0,0.0,2.0,2.0,10.0,15.0,1.0,1.0,2.0,2.0,3:14,1:08
32959.0,1.0,3:48,Juan Espino,1.0,0.0,1.0,5.0,7.0,9.0,14.0,1.0,1.0,0.0,2.0,2:36,0:00
32962.0,3.0,5:00,Danilo Marques,1.0,0.0,0.0,1.0,9.0,2.0,4.0,1.0,2.0,1.0,1.0,2:44,0:08
32964.0,3.0,5:00,Danilo Marques,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2:49,0:00
32966.0,3.0,5:00,Danilo Marques,3.0,0.0,0.0,2.0,6.0,3.0,6.0,5.0,5.0,1.0,1.0,1:43,1:22
32968.0,2.0,1:03,Cory Sandhagen,1.0,0.0,0.0,0.0,0.0,11.0,45.0,8.0,9.0,11.0,12.0,0:00,0:09
32970.0,2.0,1:03,Cory Sandhagen,2.0,1.0,0.0,0.0,0.0,5.0,18.0,1.0,1.0,2.0,3.0,0:04,0:00
32971.0,3.0,5:00,Edson Barboza,1.0,0.0,0.0,0.0,0.0,1.0,16.0,7.0,9.0,5.0,6.0,0:03,0:08
32973.0,3.0,5:00,Edson Barboza,2.0,2.0,1.0,0.0,0.0,5.0,16.0,6.0,7.0,1.0,3.0,1:35,0:14
32975.0,3.0,5:00,Edson Barboza,3.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,7.0,0.0,0.0,0:00,2:51
32978.0,3.0,5:00,Marcin Tybura,1.0,0.0,0.0,0.0,0.0,23.0,60.0,5.0,6.0,0.0,0.0,0:00,0:00
32980.0,3.0,5:00,Marcin Tybura,2.0,0.0,0.0,0.0,2.0,27.0,55.0,7.0,10.0,7.0,7.0,0:06,0:19
32982.0,3.0,5:00,Marcin Tybura,3.0,0.0,0.0,1.0,1.0,19.0,39.0,3.0,3.0,3.0,3.0,3:02,0:00
32984.0,1.0,3:22,Dricus Du Plessis,1.0,1.0,0.0,0.0,0.0,7.0,28.0,4.0,5.0,15.0,25.0,0:02,0:00
32985.0,1.0,1:35,Tom Aspinall,1.0,0.0,0.0,1.0,1.0,15.0,24.0,0.0,0.0,1.0,1.0,0:30,0:00
32988.0,3.0,5:00,Ilia Topuria,1.0,0.0,3.0,1.0,4.0,2.0,9.0,4.0,7.0,0.0,0.0,2:35,0:16
32990.0,3.0,5:00,Ilia Topuria,2.0,0.0,1.0,1.0,1.0,4.0,6.0,2.0,3.0,0.0,0.0,2:07,2:05
32992.0,3.0,5:00,Ilia Topuria,3.0,0.0,1.0,3.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,3:20,0:30
32993.0,1.0,1:42,Tom Breese,1.0,1.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,2.0,2.0,0:05,0:00
32995.0,1.0,0:45,Chris Daukaus,1.0,2.0,0.0,0.0,0.0,13.0,21.0,0.0,0.0,0.0,0.0,0:24,0:00
32998.0,2.0,2:03,Joaquin Buckley,1.0,0.0,0.0,1.0,2.0,13.0,50.0,3.0,6.0,5.0,5.0,1:03,0:00
33000.0,2.0,2:03,Joaquin Buckley,2.0,1.0,0.0,0.0,0.0,6.0,29.0,2.0,4.0,0.0,0.0,0:00,0:00
33002.0,3.0,5:00,Tony Kelley,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0:22,3:48
