unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
30998,6572,656,1,"Kyung Ho Kang",0,16,24,3,4,0,2:43,0,4,3,9,1,1,2,3,4,11,1,1,1,1
30999,6572,656,2,"Alex Caceres",0,24,32,0,0,0,1:25,1,0,4,10,2,3,0,0,1,7,1,1,4,5
31000,6572,656,2,"Kyung Ho Kang",0,11,25,2,4,0,2:37,1,3,3,12,1,2,1,1,5,14,0,0,0,1
31001,6572,656,3,"Alex Caceres",0,43,55,0,0,0,3:01,0,2,12,19,5,5,0,0,4,7,0,0,13,17
31002,6572,656,3,"Kyung Ho Kang",0,6,20,0,1,0,0:57,1,1,5,14,0,1,0,0,2,10,0,0,3,5
31003,7098,741,1,"Julian Erosa",0,22,47,1,1,0,1:04,0,1,3,24,8,11,3,4,12,33,2,4,0,2
31004,7098,741,1,"Teruto Ishihara",0,26,47,0,0,0,0:06,0,0,14,34,3,3,5,6,21,37,1,4,0,2
31005,7098,741,2,"Julian Erosa",0,2,5,0,0,0,0:00,0,0,1,3,1,2,0,0,2,5,0,0,0,0
31006,7098,741,2,"Teruto Ishihara",1,5,8,0,0,0,0:02,0,1,5,8,0,0,0,0,1,2,0,0,4,6
31007,7022,729,1,"Michihiro Omigawa ",1,54,100,0,0,2,--,0,3,19,54,1,1,1,2,12,39,0,0,9,18
31008,7022,729,1,"Young Sam Jung ",0,11,50,0,1,1,--,0,0,3,40,0,1,1,1,4,41,0,1,0,0
31009,6766,690,1,"Ivan Jorge",0,12,21,2,3,1,3:23,0,3,0,7,1,3,1,1,2,11,0,0,0,0
31010,6766,690,1,"Josh Shockley",0,9,19,0,1,0,0:33,0,0,4,13,2,3,0,0,2,11,4,5,0,0
31011,6766,690,2,"Ivan Jorge",0,10,30,0,4,0,1:12,0,0,6,19,2,8,2,3,10,30,0,0,0,0
31012,6766,690,2,"Josh Shockley",0,13,38,0,0,0,0:00,0,0,11,30,1,6,0,1,10,27,2,10,0,0
31013,6766,690,3,"Ivan Jorge",0,19,30,1,3,0,1:32,0,1,4,13,7,8,2,2,7,16,6,7,0,0
31014,6766,690,3,"Josh Shockley",0,12,30,0,1,0,0:49,0,1,3,16,1,3,0,0,2,13,1,3,1,3
31015,7168,751,1,"Matthew Riddle",0,35,43,1,2,0,3:02,0,1,5,7,11,16,10,11,0,2,26,32,0,0
31016,7168,751,1,"Dante Rivera ",0,23,40,0,2,0,0:46,0,0,4,10,10,21,3,3,3,6,14,28,0,0
31017,7168,751,2,"Matthew Riddle",0,53,63,1,1,2,2:48,0,1,2,8,12,14,9,10,0,5,12,14,11,13
31018,7168,751,2,"Dante Rivera ",0,24,35,0,2,0,1:09,0,0,7,15,5,7,0,0,4,8,7,11,1,3
31019,7168,751,3,"Matthew Riddle",0,41,45,3,3,0,3:19,0,2,8,10,3,4,0,0,1,3,4,5,6,6
31020,7168,751,3,"Dante Rivera ",0,17,20,0,1,0,0:34,0,0,0,1,4,6,1,1,2,4,3,4,0,0
