fight_id,ending_round,ending_time,unique_round_id,round_number,fighter_name,fighter_knockdowns,fighter_total_strikes_landed,fighter_total_strikes_attempted,fighter_takedowns,fighter_takedowns_attempted,fighter_submission_attempts,fighter_reversals,fighter_control_time,fighter_significant_strikes_head_landed,fighter_significant_strikes_head_attempted,fighter_significant_strikes_body_landed,fighter_significant_strikes_body_attempted,fighter_significant_strikes_leg_landed,fighter_significant_strikes_leg_attempted,fighter_significant_strikes_standing_landed,fighter_significant_strikes_standing_attempted,fighter_significant_strikes_clinch_landed,fighter_significant_strikes_clinch_attempted,fighter_significant_strikes_ground_landed,fighter_significant_strikes_ground_attempted,opponent_knockdowns,opponent_total_strikes_landed,opponent_total_strikes_attempted,opponent_takedowns,opponent_takedowns_attempted,opponent_submission_attempts,opponent_control_time,opponent_reversals,opponent_significant_strikes_head_landed,opponent_significant_strikes_head_attempted,opponent_significant_strikes_body_landed,opponent_significant_strikes_body_attempted,opponent_significant_strikes_leg_landed,opponent_significant_strikes_leg_attempted,opponent_significant_strikes_standing_landed,opponent_significant_strikes_standing_attempted,opponent_significant_strikes_clinch_landed,opponent_significant_strikes_clinch_attempted,opponent_significant_strikes_ground_landed,opponent_significant_strikes_ground_attempted
7301,1,3:23,28129,1,"Jeremy Stephens",2,30,52,0,0,0,0,0:26,22,43,1,2,5,5,13,24,9,12,6,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7302,3,5:00,27149,1,"Mike Pierce",0,45,52,2,6,0,0,3:54,0,5,6,7,6,6,0,2,4,6,8,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7302,3,5:00,27151,2,"Mike Pierce",0,40,50,2,2,0,0,4:11,1,8,0,2,8,8,1,7,3,5,5,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7302,3,5:00,27153,3,"Mike Pierce",0,37,50,2,3,0,0,3:42,0,10,4,6,2,2,0,7,2,6,4,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7303,1,3:56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7304,3,5:00,26685,1,"Gray Maynard",0,11,54,0,0,0,0,0:00,8,50,2,2,0,1,9,48,1,5,0,0,0,18,59,0,0,0,0:00,0,10,49,2,3,6,7,18,59,0,0,0,0
7304,3,5:00,26687,2,"Gray Maynard",0,15,48,0,0,0,0,0:06,10,38,5,8,0,2,11,42,4,6,0,0,0,31,95,0,1,0,0:00,0,20,77,4,10,4,5,27,89,1,3,0,0
7304,3,5:00,26689,3,"Gray Maynard",0,27,52,0,0,0,0,0:05,11,35,4,5,1,1,14,36,2,5,0,0,0,28,105,0,2,0,0:00,0,19,88,3,9,2,3,22,95,2,5,0,0
7305,3,1:59,27223,1,"Evan Dunham",0,3,22,0,0,0,0,0:20,1,19,1,2,0,0,2,20,0,0,0,1,1,29,52,0,1,1,2:07,0,16,39,3,3,1,1,14,27,5,10,1,6
7305,3,1:59,27225,2,"Evan Dunham",0,40,82,1,2,0,0,2:13,18,56,2,3,0,0,8,38,0,1,12,20,0,8,33,0,0,0,0:00,0,4,28,0,0,1,2,5,28,0,2,0,0
