unique_round_id,%_grappling_control,%_time_standing
1350.0,0.0033333333333333335,0.9966666666666667
248.0,0.29333333333333333,0.66
250.0,0.20333333333333334,0.7633333333333333
10434.0,0.48333333333333334,0.5
7356.0,0.0,1.0
7358.0,0.39,0.61
3967.0,0.0,1.0
3969.0,0.0,1.0
10263.0,0.44333333333333336,0.37333333333333335
10265.0,0.44666666666666666,0.5066666666666667
7343.0,0.0,0.82
7345.0,0.24333333333333335,0.36333333333333334
13012.0,0.023333333333333334,0.7666666666666667
12095.0,0.0,0.7566666666666667
12097.0,0.0,0.14666666666666667
1361.0,0.0,0.8466666666666667
1363.0,0.13,0.7566666666666667
1032.0,0.0,1.0
1034.0,0.0,1.0
12125.0,0.023333333333333334,0.9766666666666667
12127.0,0.23666666666666666,0.7633333333333333
3679.0,0.0,1.0
3681.0,0.013333333333333334,0.9866666666666667
12847.0,0.29333333333333333,0.17
12849.0,0.30333333333333334,0.39
1094.0,0.10333333333333333,0.85
1096.0,0.04,0.8266666666666667
8952.0,0.23666666666666666,0.7633333333333333
8954.0,0.18666666666666668,0.6933333333333334
12911.0,0.0,0.9233333333333333
12913.0,0.04666666666666667,0.8933333333333333
11761.0,0.006666666666666667,0.9933333333333333
11763.0,0.013333333333333334,0.7333333333333333
114.0,0.03666666666666667,0.2633333333333333
116.0,0.0,0.41333333333333333
9878.0,0.7733333333333333,0.14
9880.0,0.7266666666666667,0.02666666666666667
1243.0,0.0,1.0
1245.0,0.0,1.0
8882.0,0.5466666666666666,0.26
8884.0,0.19333333333333333,0.37333333333333335
12415.0,0.6133333333333333,0.38666666666666666
12417.0,0.2833333333333333,0.7166666666666667
3691.0,0.20666666666666667,0.7933333333333333
3693.0,0.18333333333333332,0.7966666666666666
8945.0,0.3566666666666667,0.43
8947.0,0.6033333333333334,0.2
13274.0,0.3466666666666667,0.6533333333333333
13276.0,0.5066666666666667,0.35333333333333333
12102.0,0.0,0.8333333333333334
12104.0,0.21666666666666667,0.74
13376.0,0.0,1.0
13378.0,0.38,0.6133333333333333
13589.0,0.0,1.0
13597.0,0.0,1.0
7077.0,0.0,1.0
7079.0,0.0,1.0
7081.0,0.05,0.95
7083.0,0.18333333333333332,0.8166666666666667
12585.0,0.25666666666666665,0.7433333333333333
12587.0,0.35333333333333333,0.6466666666666666
3030.0,0.17,0.8233333333333334
3032.0,0.0,0.09333333333333334
7713.0,0.09666666666666666,0.42
7715.0,0.02666666666666667,0.32
1401.0,0.14333333333333334,0.18333333333333332
1403.0,0.47333333333333333,0.48333333333333334
12963.0,0.09666666666666666,0.8933333333333333
12965.0,0.07333333333333333,0.9266666666666666
11142.0,0.0,1.0
9203.0,0.006666666666666667,0.6933333333333334
9205.0,0.0,1.0
13602.0,0.13333333333333333,0.6666666666666666
13604.0,0.71,0.23666666666666666
9723.0,0.09666666666666666,0.7466666666666667
9725.0,0.0,0.8966666666666666
2758.0,0.06333333333333334,0.71
9515.0,0.14333333333333334,0.8566666666666667
9517.0,0.44,0.56
10001.0,0.8833333333333333,0.11666666666666667
10003.0,0.9566666666666667,0.043333333333333335
12061.0,0.0,1.0
12063.0,0.0,1.0
9491.0,0.32,0.5833333333333334
9493.0,0.5466666666666666,0.4533333333333333
3182.0,0.6366666666666667,0.36333333333333334
3184.0,0.0,1.0
9969.0,0.0,1.0
9971.0,0.14,0.86
10975.0,0.05,0.95
10977.0,0.0,1.0
12597.0,0.0,1.0
12599.0,0.0,1.0
12601.0,0.31,0.69
12603.0,0.6,0.4
2343.0,0.0,1.0
2345.0,0.0,0.83
9351.0,0.17333333333333334,0.44333333333333336
9353.0,0.14333333333333334,0.7866666666666666
7709.0,0.04,0.74
10245.0,0.53,0.47
7527.0,0.013333333333333334,0.9866666666666667
7529.0,0.056666666666666664,0.91
3685.0,0.6233333333333333,0.37666666666666665
3687.0,0.35333333333333333,0.6066666666666667
12226.0,0.023333333333333334,0.8833333333333333
12228.0,0.14666666666666667,0.7166666666666667
11604.0,0.02,0.8333333333333334
11606.0,0.31,0.45
7994.0,0.9,0.04
7996.0,0.85,0.15
2147.0,0.0,0.9433333333333334
2149.0,0.0,1.0
2151.0,0.53,0.4633333333333333
2153.0,0.72,0.28
5741.0,0.72,0.26666666666666666
10021.0,0.26666666666666666,0.5266666666666666
10023.0,0.7366666666666667,0.13333333333333333
3899.0,0.0033333333333333335,0.9433333333333334
2473.0,0.3333333333333333,0.6666666666666666
2475.0,0.6233333333333333,0.37666666666666665
12107.0,0.96,0.023333333333333334
12109.0,0.9666666666666667,0.03333333333333333
4105.0,0.006666666666666667,0.9933333333333333
4107.0,0.03333333333333333,0.9666666666666667
6484.0,0.5166666666666667,0.25666666666666665
9040.0,0.08333333333333333,0.8833333333333333
11649.0,0.8,0.11333333333333333
11928.0,0.006666666666666667,0.83
11930.0,0.44333333333333336,0.23
11557.0,0.5633333333333334,0.43666666666666665
11559.0,0.6366666666666667,0.36333333333333334
7479.0,0.8366666666666667,0.11666666666666667
7481.0,0.98,0.02
10091.0,0.016666666666666666,0.08666666666666667
4047.0,0.0,0.9566666666666667
4049.0,0.7533333333333333,0.23666666666666666
1133.0,0.0,1.0
7117.0,0.5366666666666666,0.13
8218.0,0.39666666666666667,0.6033333333333334
8220.0,0.29,0.65
753.0,0.0,1.0
755.0,0.0,1.0
4989.0,0.59,0.32666666666666666
10027.0,0.0,0.8566666666666667
10029.0,0.043333333333333335,0.5833333333333334
4469.0,0.0,1.0
4471.0,0.5666666666666667,0.43333333333333335
2601.0,0.0,1.0
2603.0,0.013333333333333334,0.9866666666666667
12084.0,0.67,0.33
7411.0,0.25666666666666665,0.6
7413.0,0.043333333333333335,0.7833333333333333
11113.0,0.8066666666666666,0.19333333333333333
11115.0,0.5933333333333334,0.4066666666666667
645.0,0.6033333333333334,0.39666666666666667
647.0,0.7,0.3
10694.0,0.43666666666666665,0.12333333333333334
10696.0,0.7366666666666667,0.10666666666666667
954.0,0.43666666666666665,0.5633333333333334
956.0,0.5066666666666667,0.4533333333333333
7424.0,0.0,0.8766666666666667
7426.0,0.08333333333333333,0.8466666666666667
11463.0,0.8366666666666667,0.16333333333333333
11465.0,0.62,0.17666666666666667
13259.0,0.0,0.07
13261.0,0.5133333333333333,0.16333333333333333
3761.0,0.006666666666666667,0.9933333333333333
3763.0,0.0,1.0
640.0,0.15666666666666668,0.7533333333333333
642.0,0.51,0.46
10207.0,0.04666666666666667,0.9533333333333334
10209.0,0.47333333333333333,0.42
8338.0,0.5733333333333334,0.3933333333333333
16.0,0.6466666666666666,0.33
18.0,0.05333333333333334,0.6833333333333333
20.0,0.26,0.62
22.0,0.21,0.7666666666666667
171.0,0.0,1.0
173.0,0.006666666666666667,0.9933333333333333
8537.0,0.0,1.0
8539.0,0.05333333333333334,0.7266666666666667
7491.0,0.0,0.68
7493.0,0.0,1.0
13081.0,0.0,1.0
13083.0,0.3,0.6933333333333334
4960.0,0.07666666666666666,0.7666666666666667
4962.0,0.09666666666666666,0.66
13216.0,0.24,0.4033333333333333
13218.0,0.22666666666666666,0.5366666666666666
11921.0,0.38,0.2733333333333333
11923.0,0.41333333333333333,0.09333333333333334
10033.0,0.06666666666666667,0.8866666666666667
10035.0,0.11666666666666667,0.6266666666666667
12018.0,0.8266666666666667,0.16666666666666666
12020.0,0.5,0.14333333333333334
238.0,0.0,1.0
240.0,0.0,1.0
242.0,0.03333333333333333,0.9666666666666667
244.0,0.03,0.97
4897.0,0.2733333333333333,0.6933333333333334
4899.0,0.11,0.89
2832.0,0.0,1.0
2834.0,0.0,1.0
10670.0,0.26,0.62
10672.0,0.87,0.13
9510.0,0.5466666666666666,0.4533333333333333
9512.0,0.07666666666666666,0.9066666666666666
12733.0,0.22666666666666666,0.02
11632.0,0.0,1.0
11634.0,0.0,0.88
7953.0,0.0,1.0
7955.0,0.0,1.0
3832.0,0.4266666666666667,0.5733333333333334
3834.0,0.043333333333333335,0.27
12069.0,0.03,0.9066666666666666
12071.0,0.4666666666666667,0.37666666666666665
6282.0,0.35,0.3466666666666667
6284.0,0.5,0.42333333333333334
98.0,0.0,1.0
100.0,0.0,0.6533333333333333
102.0,0.0,0.51
104.0,0.0,1.0
1099.0,0.0,1.0
1101.0,0.24333333333333335,0.7433333333333333
8973.0,0.3,0.7
8975.0,0.07666666666666666,0.87
7055.0,0.0,0.9866666666666667
7057.0,0.006666666666666667,0.9633333333333334
1268.0,0.15333333333333332,0.8166666666666667
1270.0,0.016666666666666666,0.3933333333333333
3842.0,0.0,0.4666666666666667
3844.0,0.13,0.52
5290.0,0.06,0.94
5292.0,0.0,1.0
7521.0,0.6766666666666666,0.31
7523.0,0.13666666666666666,0.19
11870.0,0.59,0.38
11872.0,0.33,0.5033333333333333
5345.0,0.0,1.0
5347.0,0.0,1.0
439.0,0.0,1.0
441.0,0.0,1.0
443.0,0.0,1.0
445.0,0.0,1.0
8182.0,0.02,0.21666666666666667
8184.0,0.02666666666666667,0.4866666666666667
8186.0,0.14666666666666667,0.7733333333333333
6788.0,0.21333333333333335,0.78
6790.0,0.27,0.73
11125.0,0.0033333333333333335,0.9433333333333334
11127.0,0.0,0.8133333333333334
1759.0,0.5766666666666667,0.42333333333333334
1761.0,0.58,0.37666666666666665
10251.0,0.24666666666666667,0.47
10253.0,0.11,0.4666666666666667
1194.0,0.0,1.0
1196.0,0.4533333333333333,0.38
11582.0,0.47,0.21666666666666667
465.0,0.16666666666666666,0.7366666666666667
467.0,0.4666666666666667,0.22333333333333333
10127.0,0.0,1.0
10129.0,0.0,1.0
10230.0,0.006666666666666667,0.14333333333333334
10232.0,0.0,0.5533333333333333
13499.0,0.13333333333333333,0.7666666666666667
13501.0,0.5766666666666667,0.23666666666666666
6182.0,0.0,0.7133333333333334
6184.0,0.0,0.5933333333333334
4816.0,0.023333333333333334,0.9133333333333333
4818.0,0.11,0.7533333333333333
7917.0,0.37333333333333335,0.08
11574.0,0.0,1.0
11576.0,0.0,1.0
8513.0,0.18,0.82
8515.0,0.0,1.0
6637.0,0.013333333333333334,0.5333333333333333
13253.0,0.043333333333333335,0.23333333333333334
13255.0,0.19666666666666666,0.7166666666666667
1767.0,0.49,0.51
1769.0,0.42,0.2966666666666667
3989.0,0.13333333333333333,0.8666666666666667
3991.0,0.3566666666666667,0.6433333333333333
4081.0,0.8466666666666667,0.09666666666666666
4083.0,0.77,0.22
2595.0,0.2,0.7733333333333333
2597.0,0.0,1.0
7694.0,0.043333333333333335,0.92
7696.0,0.0,0.7166666666666667
6208.0,0.09,0.45666666666666667
11552.0,0.7533333333333333,0.24666666666666667
730.0,0.02,0.9733333333333334
732.0,0.11333333333333333,0.8866666666666667
127.0,0.18333333333333332,0.3433333333333333
129.0,0.30666666666666664,0.6933333333333334
9151.0,0.0,1.0
9153.0,0.18333333333333332,0.8166666666666667
4193.0,0.0,1.0
3062.0,0.11333333333333333,0.8866666666666667
3064.0,0.5233333333333333,0.37666666666666665
1945.0,0.10666666666666667,0.7633333333333333
1947.0,0.10333333333333333,0.8033333333333333
11943.0,0.09666666666666666,0.36666666666666664
11945.0,0.09666666666666666,0.43
6827.0,0.6766666666666666,0.3233333333333333
6829.0,0.9533333333333334,0.04666666666666667
9403.0,0.02,0.86
12189.0,0.4766666666666667,0.46
12191.0,0.4,0.6
3236.0,0.33,0.29
3238.0,0.5866666666666667,0.29333333333333333
1886.0,0.0,1.0
1888.0,0.3333333333333333,0.6666666666666666
5195.0,0.6633333333333333,0.33666666666666667
5197.0,0.0,1.0
4909.0,0.0,0.9933333333333333
2427.0,0.08333333333333333,0.9166666666666666
12045.0,0.6833333333333333,0.31666666666666665
12047.0,0.84,0.16
10681.0,0.0,0.9866666666666667
8198.0,0.33666666666666667,0.33
8200.0,0.6866666666666666,0.23666666666666666
5315.0,0.47333333333333333,0.5266666666666666
5317.0,0.9366666666666666,0.06333333333333334
7705.0,0.0,0.99
4111.0,0.0,0.84
4113.0,0.02666666666666667,0.67
7539.0,0.0033333333333333335,0.9666666666666667
7541.0,0.0,1.0
3579.0,0.8233333333333334,0.17666666666666667
3581.0,0.8733333333333333,0.12666666666666668
13369.0,0.37333333333333335,0.5166666666666667
13371.0,0.4866666666666667,0.26
