unique_round_id,total_round_time,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted
7537,300,0,5,13,0,1,1,1:27,1,1.0,1,9,2,2,0,0,3,11,0,0,0,0
7538,300,0,17,28,2,4,1,2:36,0,2.0,3,10,0,0,1,1,4,11,0,0,0,0
7539,300,0,18,39,0,0,0,0:01,0,0.0,6,21,1,5,10,12,17,37,0,1,0,0
7540,300,0,9,25,0,0,0,0:09,0,0.0,3,18,1,1,4,5,7,23,1,1,0,0
7541,300,0,20,52,0,0,0,0:00,0,0.0,14,43,2,5,4,4,20,52,0,0,0,0
7542,300,0,17,40,0,0,0,0:00,0,0.0,13,36,3,3,1,1,17,40,0,0,0,0
7543,300,0,34,83,0,3,0,0:10,0,0.0,28,71,5,10,0,1,28,75,5,7,0,0
7544,300,1,27,77,0,0,0,0:25,0,0.0,15,59,1,4,6,8,20,65,0,1,2,5
7545,300,0,42,71,0,1,0,0:02,0,0.0,32,58,1,4,9,9,39,67,3,4,0,0
7546,300,0,16,74,0,2,0,0:00,0,0.0,12,67,3,6,1,1,16,74,0,0,0,0
7547,288,1,53,86,0,1,1,0:17,0,1.0,40,70,3,4,10,12,49,82,1,1,3,3
7548,288,0,17,87,0,0,0,0:07,0,0.0,12,79,4,7,0,0,15,85,1,1,0,0
7549,300,0,15,24,1,1,0,1:22,0,1.0,0,7,2,2,2,2,2,4,2,2,0,5
7550,300,0,6,13,0,3,0,2:07,0,0.0,4,10,2,3,0,0,4,10,2,3,0,0
7551,300,0,15,29,0,0,0,0:15,0,0.0,2,14,2,2,3,4,6,17,0,1,1,2
7552,300,0,9,28,1,3,0,2:04,0,0.0,4,19,0,3,5,6,2,17,4,5,3,6
7553,300,0,21,28,0,1,0,0:54,0,0.0,4,10,0,0,5,6,5,11,4,5,0,0
7554,300,0,8,13,2,5,1,2:14,0,1.0,2,7,0,0,3,3,2,7,3,3,0,0
7555,300,0,27,33,0,3,0,1:54,0,0.0,2,5,4,5,10,12,3,6,13,16,0,0
7556,300,0,41,42,1,3,0,2:13,0,1.0,6,7,3,3,7,7,6,7,8,8,2,2
7557,300,0,15,26,0,1,0,0:34,0,0.0,3,11,3,5,2,2,5,13,3,5,0,0
7558,300,0,41,57,1,3,0,3:17,0,1.0,6,14,3,7,8,10,7,16,8,12,2,3
7559,300,0,5,8,0,3,0,1:18,0,0.0,2,3,0,1,2,2,0,1,3,4,1,1
7560,300,0,51,64,2,3,0,3:30,0,1.0,6,8,1,1,7,8,0,2,9,9,5,6
7561,300,0,46,110,1,1,0,0:15,0,0.0,30,89,4,9,11,11,41,101,4,8,0,0
7562,300,1,30,71,0,2,0,0:16,0,0.0,23,57,6,12,1,2,29,67,1,3,0,1
7563,300,0,45,67,2,3,0,2:22,0,2.0,18,35,4,5,4,6,23,41,3,4,0,1
7564,300,0,12,23,0,2,0,0:40,0,0.0,6,16,1,2,0,0,6,17,1,1,0,0
7565,300,0,60,75,2,2,0,4:16,0,7.0,17,29,3,4,3,3,5,12,1,1,17,23
